"id","text","answer","a","b","c","d"
"1","What is the term for a matrix with the same number of rows and columns?","Square matrix","Square matrix","Rectangular matrix","Diagonal matrix","Identity matrix"
"2","What is the determinant of a 2x2 matrix [a b; c d]?","ad - bc","ad - bc","ab + cd","ac - bd","a + d"
"3","What is the name of a matrix that has all its elements equal to zero?","Zero matrix","Zero matrix","Unit matrix","Diagonal matrix","Symmetric matrix"
"4","What is the rank of a matrix?","The maximum number of linearly independent rows or columns","The maximum number of linearly independent rows or columns","The number of rows","The number of columns","The sum of all elements"
"5","What is the transpose of a matrix?","A new matrix obtained by interchanging rows and columns","A new matrix obtained by interchanging rows and columns","A new matrix obtained by multiplying each element by -1","A new matrix obtained by adding a scalar to each element","A new matrix obtained by multiplying each element by a scalar"
"6","What is an eigenvalue of a matrix?","A scalar that satisfies the equation Ax = λx","A scalar that satisfies the equation Ax = λx","A vector that satisfies the equation Ax = λx","A matrix that satisfies the equation Ax = λx","A scalar that satisfies the equation A + λ = 0"
"7","What is the identity matrix?","A square matrix with ones on the diagonal and zeros elsewhere","A square matrix with ones on the diagonal and zeros elsewhere","A square matrix with zeros on the diagonal and ones elsewhere","A matrix with all elements equal to one","A matrix with all elements equal to zero"
"8","What is the trace of a square matrix?","The sum of the diagonal elements","The sum of the diagonal elements","The product of the diagonal elements","The sum of all elements","The determinant of the matrix"
"9","What is a vector space?","A set of vectors that can be added together and multiplied by scalars","A set of vectors that can be added together and multiplied by scalars","A set of vectors that can only be added together","A set of vectors that can only be multiplied by scalars","A set of vectors that are linearly dependent"
"10","What is the inverse of a matrix?","A matrix that, when multiplied with the original matrix, results in the identity matrix","A matrix that, when multiplied with the original matrix, results in the identity matrix","A matrix that, when added to the original matrix, results in the zero matrix","A matrix that, when subtracted from the original matrix, results in the identity matrix","A matrix that, when divided by the original matrix, results in the identity matrix"
