"id","text","answer","a","b","c","d"
"1","What is the primary characteristic of a linear data structure?","Data is stored in a sequential manner.","Data is stored in a hierarchical manner.","Data is stored in a sequential manner.","Data is stored in a random manner.","Data is stored in a circular manner."
"2","Which data structure follows the Last In, First Out (LIFO) access pattern?","Stack","Queue","Stack","Array","Linked List"
"3","What is the time complexity for accessing an element by index in an array?","O(1)","O(n)","O(log n)","O(1)","O(n^2)"
"4","Which type of linked list has nodes with pointers to both the next and previous nodes?","Doubly Linked List","Singly Linked List","Doubly Linked List","Circular Linked List","Array"
"5","Which data structure is commonly used for implementing function call management?","Stack","Queue","Stack","Array","Linked List"
"6","What is the primary advantage of using a hash table?","Fast lookups","Efficient range queries","Fast lookups","Hierarchical data representation","Sequential access"
"7","Which type of tree is used to efficiently store and manage databases and file systems?","B-trees","Binary Tree","Binary Search Tree (BST)","AVL Tree","B-trees"
"8","What is the time complexity for insertion and deletion operations in a heap?","O(log n)","O(1)","O(n)","O(log n)","O(n^2)"
"9","Which data structure is used for efficient prefix-based searches?","Trie","Hash Table","Trie","Heap","Segment Tree"
"10","What is the time complexity for searching an element in a balanced Binary Search Tree (BST)?","O(log n)","O(1)","O(n)","O(log n)","O(n^2)"
