"id","text","answer","a","b","c","d"
"1","Explain why a matrix is invertible if and only if its determinant is non-zero.","Because a non-zero determinant indicates the matrix has full rank.","Because a non-zero determinant indicates the matrix has full rank.","Because a non-zero determinant means the matrix is symmetric.","Because a non-zero determinant implies the matrix is diagonalizable.","Because a non-zero determinant ensures the matrix is orthogonal."
"2","Describe the geometric interpretation of the dot product of two vectors.","It represents the projection of one vector onto another.","It represents the area of the parallelogram formed by the vectors.","It represents the volume of the parallelepiped formed by the vectors.","It represents the projection of one vector onto another.","It represents the angle between the two vectors."
"3","Interpret the significance of eigenvalues in the context of linear transformations.","Eigenvalues indicate the scaling factor along the eigenvectors.","Eigenvalues determine the rotation angle of the transformation.","Eigenvalues indicate the scaling factor along the eigenvectors.","Eigenvalues represent the translation vector of the transformation.","Eigenvalues describe the shear factor of the transformation."
"4","Compare the row space and column space of a matrix.","The row space and column space have the same dimension but different bases.","The row space and column space are always the same.","The row space and column space have the same dimension but different bases.","The row space is a subspace of the column space.","The column space is a subspace of the row space."
"5","Summarize the process of finding the inverse of a 2x2 matrix.","Swap the diagonal elements, change the signs of the off-diagonal elements, and divide by the determinant.","Swap the diagonal elements, change the signs of the off-diagonal elements, and divide by the determinant.","Transpose the matrix and divide by the determinant.","Swap the rows and columns and multiply by the determinant.","Replace each element with its cofactor and divide by the determinant."
"6","Explain the relationship between the rank of a matrix and its solutions to a system of linear equations.","The rank indicates whether the system is consistent or inconsistent.","The rank determines the number of solutions.","The rank indicates whether the system is consistent or inconsistent.","The rank shows the number of free variables in the solution.","The rank reveals the number of pivot positions in the matrix."
"7","Describe the effect of a linear transformation represented by a matrix on the unit circle.","It can transform the unit circle into an ellipse.","It always rotates the unit circle.","It always scales the unit circle uniformly.","It can transform the unit circle into an ellipse.","It can only translate the unit circle."
"8","Interpret the meaning of the trace of a square matrix.","The trace is the sum of the eigenvalues of the matrix.","The trace is the sum of the eigenvalues of the matrix.","The trace is the product of the eigenvalues of the matrix.","The trace is the determinant of the matrix.","The trace is the rank of the matrix."
"9","Compare the properties of orthogonal and orthonormal sets of vectors.","Orthonormal sets have vectors with unit length, while orthogonal sets do not.","Orthogonal sets have vectors with unit length, while orthonormal sets do not.","Orthonormal sets have vectors with unit length, while orthogonal sets do not.","Both orthogonal and orthonormal sets have vectors with unit length.","Neither orthogonal nor orthonormal sets have vectors with unit length."
"10","Summarize the concept of a basis in a vector space.","A basis is a set of vectors that span the vector space and are linearly independent.","A basis is a set of vectors that span the vector space and are linearly dependent.","A basis is a set of vectors that span the vector space and are linearly independent.","A basis is a set of vectors that are orthogonal to each other.","A basis is a set of vectors that are orthonormal to each other."
