"id","text","answer","a","b","c","d"
"1","Given a binary search tree (BST), how would you apply an algorithm to find the minimum value in the tree?","Traverse to the leftmost node","Traverse to the leftmost node","Traverse to the rightmost node","Perform an in-order traversal","Perform a post-order traversal"
"2","How would you use a stack to reverse a string in a programming language?","Push each character onto the stack and then pop them all","Push each character onto the stack and then pop them all","Push each character onto the stack and then push them again","Pop each character from the stack and then push them again","Push each character onto the stack and then perform an in-order traversal"
"3","Which data structure would you apply to implement a breadth-first search (BFS) algorithm?","Queue","Queue","Stack","Heap","Binary Search Tree"
"4","How would you apply a hash table to efficiently check for duplicate elements in an array?","Insert each element into the hash table and check for collisions","Insert each element into the hash table and check for collisions","Sort the array and then check for duplicates","Use a stack to store elements and check for duplicates","Use a queue to store elements and check for duplicates"
"5","Which data structure would you use to implement an undo feature in a text editor?","Stack","Stack","Queue","Linked List","Binary Tree"
"6","How would you apply a linked list to implement a queue?","Use a singly linked list with pointers to the head and tail","Use a singly linked list with pointers to the head and tail","Use a doubly linked list with pointers to the head and tail","Use a circular linked list","Use a singly linked list with a pointer to the head only"
"7","Which data structure would you apply to implement a priority queue?","Heap","Heap","Stack","Queue","Linked List"
"8","How would you use a graph data structure to represent a social network?","Use nodes to represent users and edges to represent friendships","Use nodes to represent users and edges to represent friendships","Use nodes to represent friendships and edges to represent users","Use nodes to represent users and edges to represent messages","Use nodes to represent messages and edges to represent users"
"9","How would you apply a depth-first search (DFS) algorithm to detect a cycle in a directed graph?","Track visited nodes and the recursion stack","Track visited nodes and the recursion stack","Track visited nodes and the queue","Track visited nodes and the parent nodes","Track visited nodes and the adjacency list"
"10","How would you use a trie data structure to implement an autocomplete feature?","Insert all possible words into the trie and traverse from the root to find matches","Insert all possible words into the trie and traverse from the root to find matches","Insert all possible words into the trie and traverse from the leaves to find matches","Insert all possible words into a hash table and search for matches","Insert all possible words into a binary search tree and search for matches"
