"id","text","answer","a","b","c","d"
"1","Given a vector space V and a linear transformation T: V → V, how would you apply T to a vector v = [2, -1] if T is represented by the matrix A = [[1, 2], [3, 4]]?","[4, 10]","[4, 10]","[0, 0]","[0, 1]","[1, 3]"
"2","How would you use the determinant to determine if the matrix A = [[2, 3], [1, 4]] is invertible?","Calculate the determinant and check if it is zero.","Calculate the determinant and check if it is zero.","Check if all elements are non-zero.","Check if the matrix is symmetric.","Check if the trace of the matrix is non-zero."
"3","Apply the concept of linear independence to determine if the vectors [1, 2] and [2, 4] are linearly independent.","They are linearly dependent because one is a scalar multiple of the other.","They are linearly dependent because one is a scalar multiple of the other.","They are linearly independent because they are not multiples of each other.","They are linearly independent because they span the vector space.","They are linearly dependent because they have the same direction."
"4","How would you apply the concept of eigenvalues to determine if a matrix A = [[2, 1], [1, 2]] has an eigenvalue of 3?","Solve the characteristic equation det(A - 3I) = 0.","Solve the characteristic equation det(A - 3I) = 0.","Check if the trace of A is 3.","Check if the determinant of A is 3.","Check if A is diagonalizable."
"5","How would you use matrix multiplication to find the product of matrices A = [[1, 2], [3, 4]] and B = [[2, 0], [1, 3]]?","[[4, 6], [9, 12]]","[[4, 6], [10, 12]]","[[4, 6], [6, 12]]","[[4, 6], [9, 12]]","[[4, 6], [9, 18]]"
"6","How would you apply the concept of a linear transformation to determine the image of the vector [1, 2] under the transformation T(x, y) = (2x + y, x - y)?","[3, -1]","[4, -1]","[3, -1]","[4, 1]","[3, 1]"
"7","How would you use the properties of determinants to find the determinant of the matrix A = [[3, 2], [1, 4]]?","10","10","14","11","8"
"8","How would you apply the concept of matrix inversion to solve the system of equations represented by A = [[1, 2], [3, 4]] and b = [5, 6]?","Find A^-1 and multiply it by b.","Find A^-1 and multiply it by b.","Find the determinant of A and use it to solve for x.","Transpose A and multiply it by b.","Add A and b."
"9","How would you use the concept of eigenvectors to diagonalize the matrix A = [[4, 1], [2, 3]]?","Find the eigenvalues and corresponding eigenvectors, then form the matrix P and D.","Find the eigenvalues and corresponding eigenvectors, then form the matrix P and D.","Find the determinant and trace of A.","Transpose A and find its inverse.","Add the identity matrix to A."
"10","How would you apply the concept of vector spaces to determine if the set of vectors {[1, 0], [0, 1], [1, 1]} forms a basis for R^2?","Check if the vectors are linearly independent and span R^2.","Check if the vectors are linearly independent and span R^2.","Check if the vectors are orthogonal.","Check if the vectors are normalized.","Check if the vectors are all non-zero."
