"id","text","answer","a","b","c","d"
"1","What is the primary purpose of a data structure?","To organize and store data efficiently","To organize and store data efficiently","To compile code","To debug programs","To design user interfaces"
"2","Which data structure uses LIFO (Last In, First Out) principle?","Stack","Stack","Queue","Linked List","Tree"
"3","What is the time complexity of accessing an element in an array?","O(1)","O(1)","O(n)","O(log n)","O(n^2)"
"4","Which data structure is used to implement a priority queue?","Heap","Heap","Stack","Array","Linked List"
"5","What is the main characteristic of a binary search tree?","Each node has at most two children","Each node has at most two children","Each node has exactly two children","Each node has at most three children","Each node has exactly three children"
"6","Which data structure is best suited for implementing a FIFO (First In, First Out) system?","Queue","Queue","Stack","Tree","Graph"
"7","What is the primary use of a hash table?","To store key-value pairs","To store key-value pairs","To sort data","To traverse a tree","To implement recursion"
"8","Which data structure is used to represent hierarchical relationships?","Tree","Tree","Array","Stack","Queue"
"9","What is the main advantage of using a linked list over an array?","Dynamic size","Dynamic size","Faster access time","Less memory usage","Simpler implementation"
"10","Which data structure is used to implement depth-first search (DFS) in a graph?","Stack","Stack","Queue","Array","Heap"
